,regional_mobility,is_high_user,avg_consume_less_12_valid_month,reg_preference_for_trad,status,low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,repayment_capability,number_of_trans_from_2011,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,first_transaction_day_re,active_day
122,1.0,0,6.0,0.0,1,0.13,0.87,0.0,1.17,0.44,0.49700000000000005,21.0,15.0,13.0,8260.0,28.0,97720.0,251.0,0.5,21260.0,1380.0,0.15,270.0,0.8,14.0,14.0,14.0,14.0,0.0,1.0,9.0,12.0,0.0,1540.0,6.0,0.0,0.0,2020.0,0.0,87.0,544.0,78.0,16.0,5.0,7.0,36.0,6.0,13.0,24.0,520.0,75.0,35.0,34.0,1.0,7.0,3.0,4.0,2.0,4.0,17.0,66.0,6.0,2.0,1.0,357.0,2800.0,73.0,4.0,4.0,3100.0,2375.0,16300.0,78.0,3.0,3.0,18000.0,6666.0,17.0,1978.0,7.0
123,3.0,0,6.0,0.0,0,0.0,0.48,2200.0,1.06,1.0,0.563,21.0,19.0,8.0,82770.0,29.0,816710.0,297.0,0.4,72490.0,29620.0,0.15,2760.0,0.35,7.0,19.0,3.0,26.0,0.0,2.0,2.0,2.0,0.0,1730.0,7.0,0.0,100.0,153940.0,0.0,86.0,681.0,73.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,675.0,76.0,41.0,40.0,0.0,16.0,6.0,10.0,1.0,2.0,14.0,54.0,2.0,1.0,0.0,360.0,2700.0,75.0,10.0,11.0,4500.0,1930.0,10700.0,76.0,6.0,6.0,16800.0,10466.0,41.0,923.0,17.0
124,3.0,0,6.0,0.0,0,0.0,1.0,6000.0,1.13,0.65,0.386,18.0,17.0,31.0,20000.0,15.0,218610.0,121.0,0.2,60510.0,2370.0,0.05,1790.0,0.35,5.0,12.0,5.0,15.0,0.0,4.0,5.0,5.0,782337.0,2840.0,4.0,0.0,2500.0,44330.0,0.0,82.0,523.0,80.0,20.0,5.0,6.0,28.0,8.0,15.0,18.0,481.0,75.0,40.0,31.0,3.0,13.0,8.0,5.0,0.0,1.0,17.0,36.0,20.0,0.0,0.0,332.0,3400.0,72.0,5.0,7.0,4900.0,3220.0,10500.0,79.0,8.0,8.0,19200.0,9950.0,8.0,744.0,8.0
125,1.0,0,6.0,0.0,1,0.02,0.98,600.0,0.96,1.0,0.133,17.0,34.0,34.0,12140.0,16.0,51150.0,56.0,0.85,10390.0,590.0,1.0,1070.0,0.65,0.0,23.0,0.0,23.0,0.0,1.0,4.0,4.0,0.0,270.0,3.0,0.0,0.0,5210.0,0.0,102.0,529.0,82.0,3.0,1.0,0.0,3.0,1.0,2.0,2.0,491.0,77.0,18.0,15.0,1.0,5.0,3.0,2.0,0.0,1.0,6.0,16.0,5.0,0.0,0.0,308.0,2300.0,73.0,2.0,2.0,3000.0,2300.0,5500.0,83.0,3.0,3.0,6600.0,5200.0,10.0,533.0,10.0
126,3.0,0,7.0,0.0,0,0.04,0.95,0.0,0.94,1.0,0.45,16.0,15.0,15.0,21530.0,14.0,310180.0,173.0,0.4,71300.0,4570.0,0.05,940.0,0.55,8.0,14.0,8.0,17.0,0.0,1.0,7.0,7.0,149100.0,1070.0,18.0,0.0,0.0,17700.0,0.0,83.0,541.0,77.0,16.0,7.0,8.0,20.0,1.0,8.0,16.0,479.0,73.0,64.0,58.0,3.0,20.0,3.0,17.0,0.0,1.0,30.0,89.0,13.0,0.0,0.0,358.0,2300.0,71.0,17.0,17.0,3900.0,1794.0,21400.0,76.0,3.0,3.0,33600.0,18800.0,23.0,482.0,23.0
127,3.0,0,8.0,0.0,1,0.02,0.98,100.0,1.24,0.64,0.588,19.0,13.0,9.0,4520.0,39.0,404430.0,315.0,0.3,54840.0,390.0,0.1,1000.0,0.55,13.0,13.0,13.0,13.0,0.0,5.0,15.0,15.0,1396823.0,3630.0,8.0,0.0,0.0,34600.0,0.0,83.0,549.0,76.0,11.0,5.0,3.0,15.0,3.0,7.0,10.0,511.0,75.0,31.0,27.0,1.0,12.0,4.0,7.0,0.0,2.0,11.0,37.0,10.0,0.0,0.0,349.0,2100.0,74.0,7.0,8.0,3100.0,1810.0,7700.0,79.0,4.0,5.0,13800.0,7050.0,14.0,1905.0,10.0
128,5.0,0,8.0,2.0,0,0.04,0.96,10000.0,0.3,0.86,0.263,21.0,36.0,15.0,7110.0,24.0,30120.0,123.0,0.6,2890.0,6030.0,0.2,470.0,0.5,12.0,19.0,12.0,31.0,0.0,0.0,1.0,2.0,3.0,600.0,4.0,0.0,600.0,3530.0,0.0,83.0,609.0,70.0,6.0,3.0,3.0,11.0,4.0,7.0,8.0,586.0,85.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,130.0,600.0,85.0,1.0,1.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,890.0,14.0
129,2.0,0,7.0,0.0,0,0.01,0.99,4000.0,2.24,1.0,0.28600000000000003,17.0,31.0,30.0,9330.0,13.0,73840.0,104.0,0.45,12190.0,1570.0,0.15,800.0,0.6,8.0,15.0,8.0,16.0,0.0,1.0,1.0,2.0,514778.0,1090.0,3.0,0.0,0.0,7150.0,0.0,83.0,549.0,76.0,11.0,5.0,3.0,15.0,3.0,7.0,10.0,511.0,75.0,31.0,27.0,1.0,12.0,4.0,7.0,0.0,2.0,11.0,37.0,10.0,0.0,0.0,349.0,2100.0,74.0,7.0,8.0,3100.0,1810.0,7700.0,79.0,4.0,5.0,13800.0,7050.0,14.0,435.0,10.0
130,2.0,0,8.0,0.0,0,0.01,0.95,2000.0,0.51,0.93,0.311,13.0,21.0,21.0,1260.0,28.0,157270.0,210.0,0.4,14850.0,1180.0,0.05,1400.0,0.5,8.0,21.0,16.0,25.0,0.0,1.0,3.0,3.0,6.0,1540.0,8.0,0.0,830.0,19090.0,0.0,83.0,644.0,80.0,13.0,8.0,3.0,18.0,0.0,7.0,12.0,610.0,78.0,15.0,13.0,0.0,10.0,4.0,6.0,0.0,0.0,8.0,18.0,4.0,0.0,0.0,317.0,2500.0,76.0,6.0,6.0,4700.0,2033.0,10600.0,82.0,4.0,5.0,32400.0,11175.0,29.0,955.0,29.0
131,2.0,0,6.0,0.0,1,0.01,0.84,0.0,0.92,1.0,0.6659999999999999,18.0,16.0,12.0,38950.0,16.0,706700.0,297.0,0.3,62590.0,23520.0,0.05,1790.0,0.4,5.0,9.0,5.0,9.0,2.0,4.0,9.0,9.0,201.0,3540.0,6.0,0.0,1240.0,8530.0,0.0,82.0,499.0,80.0,24.0,12.0,9.0,36.0,13.0,23.0,27.0,495.0,77.0,120.0,75.0,9.0,37.0,15.0,22.0,9.0,16.0,48.0,87.0,92.0,3.0,16.0,356.0,2600.0,75.0,22.0,25.0,5000.0,2113.0,12800.0,80.0,15.0,18.0,27600.0,10926.0,3.0,523.0,1.0
132,3.0,0,7.0,0.0,0,0.02,0.93,200.0,0.12,1.0,0.505,20.0,20.0,13.0,12780.0,15.0,283220.0,212.0,0.4,17610.0,14110.0,0.15,1380.0,0.55,12.0,20.0,12.0,20.0,0.0,0.0,2.0,2.0,0.0,1800.0,18.0,0.0,0.0,27180.0,0.0,84.0,547.0,77.0,14.0,5.0,5.0,18.0,8.0,13.0,15.0,509.0,75.0,72.0,63.0,4.0,25.0,5.0,20.0,4.0,5.0,17.0,111.0,20.0,6.0,2.0,359.0,2400.0,74.0,20.0,22.0,4500.0,1930.0,39800.0,78.0,5.0,6.0,50400.0,15240.0,8.0,512.0,2.0
133,4.0,0,6.0,0.0,1,0.01,0.99,1700.0,1.11,0.68,0.525,19.0,13.0,12.0,12360.0,38.0,494860.0,307.0,0.4,51440.0,12290.0,0.05,1140.0,0.5,12.0,12.0,12.0,12.0,1.0,3.0,8.0,10.0,504817.0,1530.0,8.0,0.0,500.0,25440.0,0.0,82.0,657.0,77.0,24.0,13.0,9.0,37.0,4.0,15.0,20.0,636.0,78.0,55.0,50.0,0.0,20.0,5.0,15.0,5.0,7.0,22.0,67.0,11.0,5.0,1.0,334.0,2400.0,76.0,15.0,16.0,4400.0,2093.0,14300.0,80.0,5.0,5.0,20400.0,10260.0,5.0,1755.0,5.0
134,4.0,0,4.0,4.0,0,0.01,0.99,0.0,0.6,0.59,0.428,12.0,32.0,13.0,30010.0,51.0,108870.0,286.0,0.55,20120.0,65690.0,0.4,1540.0,0.45,1.0,32.0,1.0,32.0,0.0,2.0,2.0,2.0,0.0,1090.0,5.0,0.0,0.0,17310.0,0.0,83.0,543.0,81.0,13.0,5.0,4.0,16.0,5.0,11.0,13.0,508.0,74.0,19.0,18.0,1.0,9.0,2.0,7.0,1.0,1.0,9.0,21.0,1.0,2.0,0.0,333.0,2100.0,74.0,7.0,8.0,2800.0,1857.0,7500.0,78.0,2.0,2.0,8400.0,7200.0,12.0,2680.0,12.0
135,3.0,0,8.0,0.0,0,0.01,0.95,0.0,0.54,0.82,0.405,13.0,18.0,12.0,2570.0,33.0,178470.0,238.0,0.45,35170.0,6820.0,0.1,1010.0,0.55,7.0,10.0,7.0,10.0,0.0,1.0,1.0,2.0,145892.0,560.0,4.0,0.0,0.0,0.0,0.0,82.0,500.0,79.0,18.0,11.0,3.0,25.0,11.0,16.0,22.0,523.0,75.0,55.0,45.0,1.0,19.0,7.0,12.0,2.0,2.0,23.0,63.0,40.0,2.0,1.0,359.0,2400.0,74.0,12.0,14.0,4700.0,1850.0,9200.0,75.0,7.0,7.0,16800.0,9085.0,2.0,1272.0,2.0
136,2.0,0,11.0,1.0,1,0.01,0.15,0.0,0.97,1.0,0.536,13.0,97.0,29.0,76770.0,33.0,39890.0,501.0,1.0,910.0,64930.0,1.0,1950.0,0.4,0.0,48.0,0.0,48.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,82.0,535.0,79.0,16.0,7.0,6.0,22.0,4.0,6.0,17.0,478.0,76.0,47.0,37.0,7.0,22.0,9.0,13.0,0.0,3.0,19.0,53.0,59.0,0.0,10.0,344.0,2600.0,73.0,13.0,15.0,6300.0,2061.0,4000.0,79.0,9.0,11.0,20400.0,5566.0,23.0,1046.0,23.0
137,3.0,0,7.0,0.0,0,0.04,0.96,0.0,0.47,0.5,0.233,16.0,21.0,17.0,12410.0,33.0,134740.0,133.0,0.45,20920.0,1000.0,0.15,790.0,0.6,7.0,17.0,7.0,17.0,0.0,1.0,2.0,2.0,465.0,1140.0,8.0,0.0,280.0,25570.0,0.0,89.0,656.0,73.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,635.0,79.0,21.0,19.0,0.0,7.0,3.0,4.0,1.0,1.0,7.0,50.0,6.0,1.0,0.0,314.0,2100.0,78.0,4.0,4.0,2500.0,1725.0,17000.0,79.0,3.0,3.0,19800.0,14200.0,30.0,2067.0,29.0
138,3.0,0,7.0,0.0,0,0.07,0.93,0.0,0.67,0.85,0.28300000000000003,15.0,19.0,19.0,7300.0,29.0,107360.0,168.0,0.4,14710.0,670.0,0.1,660.0,0.65,5.0,15.0,5.0,15.0,0.0,1.0,1.0,5.0,9793.0,1530.0,4.0,0.0,300.0,3220.0,0.0,82.0,614.0,74.0,5.0,4.0,1.0,6.0,0.0,4.0,5.0,596.0,76.0,14.0,14.0,0.0,6.0,4.0,2.0,0.0,0.0,4.0,29.0,4.0,0.0,0.0,348.0,1900.0,74.0,2.0,2.0,2200.0,1650.0,3700.0,77.0,4.0,4.0,7200.0,3850.0,42.0,1092.0,42.0
139,3.0,0,7.0,0.0,0,0.01,0.99,0.0,0.23,0.7,0.258,7.0,19.0,18.0,9640.0,19.0,113660.0,117.0,0.4,12610.0,2290.0,0.15,950.0,0.55,8.0,19.0,8.0,19.0,1.0,1.0,3.0,4.0,812.0,3160.0,3.0,0.0,0.0,0.0,0.0,85.0,549.0,76.0,11.0,5.0,3.0,15.0,3.0,7.0,10.0,511.0,75.0,31.0,27.0,1.0,12.0,4.0,7.0,0.0,2.0,11.0,37.0,10.0,0.0,0.0,349.0,2100.0,74.0,7.0,8.0,3100.0,1810.0,7700.0,79.0,4.0,5.0,13800.0,7050.0,14.0,859.0,10.0
140,3.0,0,5.0,0.0,0,0.04,0.74,1000.0,3.76,0.69,0.45,21.0,20.0,18.0,17180.0,25.0,209930.0,197.0,0.2,47000.0,5850.0,0.05,920.0,0.55,6.0,20.0,6.0,20.0,1.0,0.0,2.0,2.0,194445.0,4910.0,4.0,0.0,2030.0,21840.0,0.0,82.0,532.0,74.0,7.0,3.0,4.0,9.0,4.0,7.0,8.0,503.0,75.0,35.0,34.0,2.0,12.0,6.0,6.0,1.0,2.0,2.0,55.0,19.0,1.0,1.0,359.0,3300.0,73.0,6.0,6.0,5700.0,3200.0,6700.0,76.0,6.0,6.0,18600.0,6700.0,15.0,1162.0,14.0
141,1.0,0,5.0,0.0,0,0.03,0.97,1300.0,0.69,1.0,0.311,18.0,21.0,11.0,12600.0,9.0,89790.0,84.0,0.55,18570.0,1150.0,0.15,810.0,0.6,16.0,19.0,16.0,19.0,1.0,2.0,7.0,7.0,130803.0,1310.0,8.0,0.0,280.0,10930.0,0.0,83.0,616.0,77.0,22.0,8.0,10.0,29.0,15.0,18.0,24.0,586.0,74.0,47.0,37.0,2.0,17.0,2.0,15.0,3.0,9.0,25.0,43.0,25.0,3.0,2.0,333.0,1700.0,74.0,15.0,15.0,2400.0,1540.0,3300.0,77.0,2.0,2.0,3600.0,3000.0,2.0,318.0,1.0
142,2.0,0,7.0,0.0,0,0.02,0.98,1000.0,1.14,1.0,0.27699999999999997,14.0,29.0,24.0,6350.0,19.0,146640.0,147.0,0.65,39250.0,1180.0,0.65,1210.0,0.5,0.0,16.0,0.0,16.0,0.0,0.0,2.0,2.0,110.0,850.0,5.0,0.0,0.0,0.0,0.0,99.0,651.0,80.0,8.0,4.0,4.0,10.0,2.0,5.0,8.0,625.0,77.0,39.0,36.0,0.0,14.0,7.0,7.0,2.0,2.0,16.0,39.0,11.0,2.0,0.0,351.0,2100.0,76.0,7.0,8.0,4100.0,2000.0,6200.0,79.0,7.0,8.0,8400.0,6557.0,24.0,637.0,6.0
143,2.0,0,6.0,1.0,0,0.01,0.72,6000.0,0.24,1.0,0.494,20.0,19.0,13.0,12500.0,12.0,122050.0,178.0,0.5,23000.0,33450.0,0.15,1560.0,0.45,8.0,19.0,5.0,27.0,0.0,3.0,3.0,3.0,0.0,820.0,3.0,0.0,1180.0,19230.0,0.0,83.0,629.0,77.0,8.0,3.0,3.0,12.0,5.0,7.0,9.0,602.0,77.0,22.0,18.0,0.0,10.0,2.0,8.0,0.0,0.0,6.0,25.0,5.0,1.0,0.0,348.0,2000.0,76.0,8.0,9.0,3400.0,1725.0,22600.0,83.0,2.0,2.0,51600.0,26700.0,16.0,402.0,16.0
144,3.0,0,5.0,4.0,0,0.01,0.55,1100.0,0.65,0.74,0.386,21.0,26.0,12.0,114150.0,31.0,361390.0,279.0,0.7,39050.0,93600.0,1.0,2640.0,0.35,0.0,26.0,0.0,26.0,0.0,0.0,4.0,4.0,0.0,730.0,6.0,0.0,0.0,31240.0,0.0,83.0,594.0,77.0,11.0,6.0,2.0,19.0,6.0,12.0,19.0,580.0,74.0,45.0,42.0,1.0,14.0,5.0,9.0,2.0,3.0,15.0,53.0,5.0,1.0,0.0,350.0,3100.0,74.0,9.0,9.0,9600.0,3255.0,12900.0,78.0,5.0,5.0,15600.0,9560.0,4.0,1322.0,4.0
145,1.0,1,3.0,1.0,0,0.0,0.83,5600.0,0.72,1.0,0.155,8.0,31.0,53.0,6920.0,9.0,19300.0,42.0,1.0,0.0,3260.0,1.0,2410.0,0.6,0.0,31.0,0.0,31.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0,536.0,78.0,16.0,4.0,4.0,22.0,10.0,13.0,19.0,508.0,75.0,29.0,26.0,1.0,16.0,4.0,12.0,0.0,1.0,18.0,39.0,16.0,0.0,0.0,313.0,1700.0,74.0,12.0,12.0,2300.0,1425.0,5200.0,80.0,4.0,4.0,6000.0,4650.0,7.0,313.0,7.0
146,3.0,0,5.0,0.0,0,0.01,0.99,1000.0,0.87,0.74,0.381,17.0,27.0,14.0,15660.0,23.0,139020.0,131.0,0.45,34850.0,3140.0,0.15,1130.0,0.5,8.0,15.0,8.0,15.0,1.0,1.0,2.0,2.0,0.0,1900.0,7.0,0.0,0.0,23480.0,0.0,82.0,653.0,72.0,9.0,6.0,3.0,17.0,1.0,3.0,6.0,616.0,74.0,45.0,43.0,0.0,20.0,10.0,10.0,0.0,2.0,19.0,59.0,16.0,5.0,0.0,320.0,1900.0,68.0,10.0,11.0,3400.0,1530.0,4400.0,80.0,10.0,11.0,20400.0,6610.0,9.0,993.0,9.0
147,1.0,0,7.0,0.0,0,0.01,0.99,0.0,3.04,0.42,0.203,12.0,88.0,82.0,10320.0,11.0,34200.0,58.0,0.4,14660.0,1790.0,0.1,920.0,0.55,12.0,16.0,12.0,16.0,0.0,4.0,4.0,4.0,701235.0,1000.0,2.0,0.0,1950.0,6000.0,0.0,82.0,540.0,78.0,16.0,10.0,3.0,31.0,5.0,15.0,23.0,479.0,77.0,34.0,22.0,3.0,12.0,5.0,7.0,0.0,1.0,15.0,27.0,26.0,0.0,0.0,359.0,2500.0,73.0,7.0,7.0,3900.0,1914.0,9700.0,81.0,5.0,6.0,22800.0,9120.0,4.0,835.0,4.0
148,2.0,0,5.0,1.0,0,0.01,0.99,300.0,0.99,0.83,0.136,13.0,127.0,95.0,10480.0,10.0,33830.0,41.0,1.0,4260.0,830.0,1.0,1300.0,0.45,0.0,27.0,0.0,15.0,0.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,6160.0,0.0,93.0,530.0,78.0,11.0,5.0,5.0,12.0,3.0,3.0,8.0,493.0,63.0,16.0,16.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,16.0,10.0,0.0,0.0,302.0,2400.0,63.0,2.0,4.0,2800.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,420.0,12.0
149,2.0,0,3.0,0.0,0,0.0,1.0,0.0,0.99,1.0,0.095,6.0,28.0,29.0,12370.0,7.0,18460.0,20.0,1.0,3520.0,1830.0,1.0,1080.0,0.5,0.0,20.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,136.0,632.0,77.0,6.0,3.0,2.0,9.0,0.0,0.0,7.0,596.0,76.0,14.0,12.0,0.0,7.0,3.0,4.0,0.0,0.0,6.0,14.0,5.0,0.0,1.0,294.0,1200.0,70.0,4.0,5.0,1500.0,975.0,17500.0,84.0,3.0,3.0,20400.0,10400.0,101.0,290.0,101.0
150,3.0,0,6.0,0.0,0,0.0,0.96,300.0,1.28,0.95,0.541,21.0,16.0,14.0,12180.0,18.0,494150.0,219.0,0.5,40650.0,4310.0,0.3,1760.0,0.4,13.0,16.0,13.0,16.0,0.0,0.0,3.0,3.0,0.0,1540.0,6.0,0.0,700.0,25420.0,0.0,84.0,627.0,65.0,9.0,5.0,2.0,11.0,3.0,4.0,6.0,601.0,76.0,58.0,58.0,0.0,19.0,3.0,16.0,0.0,0.0,7.0,59.0,2.0,0.0,0.0,357.0,2400.0,75.0,16.0,17.0,6000.0,2175.0,19100.0,79.0,3.0,3.0,25800.0,19800.0,23.0,620.0,23.0
151,2.0,0,5.0,0.0,1,0.03,0.97,0.0,0.61,0.96,0.17600000000000002,12.0,31.0,31.0,8780.0,23.0,44590.0,121.0,1.0,0.0,660.0,1.0,930.0,0.55,0.0,31.0,0.0,31.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,160.0,528.0,73.0,3.0,2.0,1.0,3.0,0.0,2.0,2.0,456.0,76.0,18.0,6.0,6.0,9.0,3.0,6.0,0.0,1.0,4.0,9.0,129.0,0.0,12.0,341.0,2100.0,75.0,6.0,6.0,2900.0,1850.0,10400.0,77.0,3.0,3.0,14400.0,9333.0,82.0,891.0,36.0
152,3.0,0,6.0,0.0,0,0.02,0.98,1000.0,0.17,0.81,0.638,22.0,13.0,9.0,1120.0,38.0,439560.0,334.0,0.45,58670.0,19440.0,0.15,960.0,0.55,8.0,10.0,14.0,14.0,0.0,2.0,12.0,12.0,0.0,1550.0,7.0,0.0,360.0,33360.0,0.0,82.0,592.0,75.0,24.0,11.0,8.0,35.0,9.0,16.0,22.0,560.0,73.0,111.0,108.0,1.0,33.0,13.0,20.0,3.0,13.0,48.0,164.0,12.0,4.0,0.0,360.0,2100.0,71.0,20.0,21.0,3300.0,1885.0,9100.0,79.0,13.0,14.0,18000.0,8076.0,14.0,1481.0,1.0
153,1.0,0,9.0,0.0,0,0.0,0.48,800.0,0.91,0.81,0.205,15.0,25.0,24.0,28300.0,21.0,213570.0,99.0,0.4,87190.0,6380.0,0.4,2620.0,0.4,13.0,21.0,13.0,21.0,0.0,1.0,2.0,2.0,0.0,2180.0,2.0,0.0,0.0,91600.0,0.0,84.0,634.0,69.0,3.0,2.0,1.0,6.0,6.0,6.0,6.0,601.0,76.0,5.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,355.0,2100.0,70.0,1.0,1.0,2100.0,2100.0,19800.0,78.0,3.0,3.0,24000.0,11100.0,10.0,834.0,10.0
154,2.0,0,7.0,0.0,0,0.01,0.99,0.0,0.83,0.65,0.38,20.0,33.0,26.0,14140.0,15.0,207800.0,142.0,0.1,65720.0,3150.0,0.05,1130.0,0.5,12.0,12.0,12.0,12.0,6.0,1.0,3.0,3.0,20.0,5740.0,7.0,0.0,6450.0,24340.0,0.0,82.0,652.0,73.0,13.0,8.0,3.0,26.0,6.0,11.0,14.0,632.0,75.0,47.0,42.0,0.0,20.0,10.0,10.0,2.0,6.0,23.0,49.0,10.0,1.0,1.0,329.0,1900.0,72.0,10.0,10.0,2900.0,1660.0,9400.0,79.0,10.0,11.0,39600.0,9700.0,3.0,740.0,3.0
155,2.0,0,7.0,0.0,0,0.01,0.99,3000.0,0.84,0.95,0.28800000000000003,17.0,18.0,12.0,3790.0,21.0,130370.0,135.0,0.3,36390.0,980.0,0.1,1180.0,0.5,7.0,18.0,7.0,18.0,1.0,0.0,4.0,4.0,1634004.0,1780.0,4.0,0.0,1400.0,15190.0,0.0,82.0,653.0,77.0,6.0,3.0,1.0,8.0,1.0,4.0,7.0,625.0,77.0,17.0,17.0,0.0,8.0,6.0,2.0,0.0,3.0,7.0,24.0,2.0,1.0,0.0,319.0,2600.0,75.0,2.0,2.0,3400.0,2900.0,3900.0,77.0,6.0,7.0,6600.0,4450.0,3.0,720.0,3.0
156,2.0,0,5.0,1.0,0,0.0,1.0,0.0,10.14,0.75,0.07400000000000001,13.0,54.0,72.0,12380.0,12.0,13720.0,26.0,0.65,3430.0,30.0,1.0,1240.0,0.55,0.0,51.0,0.0,51.0,0.0,1.0,2.0,2.0,0.0,880.0,1.0,0.0,0.0,3300.0,0.0,82.0,638.0,82.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,606.0,78.0,11.0,8.0,0.0,6.0,6.0,0.0,1.0,2.0,4.0,13.0,9.0,0.0,1.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,78.0,6.0,7.0,20400.0,5950.0,83.0,522.0,1.0
157,4.0,0,7.0,0.0,1,0.01,0.9,0.0,2.22,0.67,0.513,19.0,14.0,14.0,19660.0,58.0,359180.0,289.0,0.15,74250.0,3730.0,0.05,1280.0,0.5,7.0,7.0,7.0,7.0,0.0,9.0,18.0,18.0,481.0,14610.0,10.0,0.0,2170.0,41850.0,0.0,82.0,543.0,75.0,12.0,6.0,5.0,16.0,2.0,6.0,11.0,495.0,76.0,61.0,54.0,2.0,22.0,10.0,12.0,3.0,7.0,29.0,77.0,37.0,4.0,3.0,358.0,1500.0,74.0,12.0,13.0,2100.0,1158.0,12600.0,76.0,10.0,10.0,49200.0,11350.0,3.0,2672.0,3.0
158,4.0,0,7.0,0.0,1,0.0,1.0,2000.0,0.38,0.41,0.319,17.0,25.0,21.0,17900.0,23.0,143030.0,138.0,0.35,33230.0,740.0,0.4,1310.0,0.45,12.0,17.0,12.0,17.0,0.0,5.0,9.0,9.0,19726.0,3200.0,3.0,0.0,0.0,11850.0,0.0,92.0,653.0,73.0,16.0,5.0,8.0,23.0,7.0,8.0,10.0,627.0,76.0,44.0,43.0,0.0,17.0,3.0,14.0,1.0,1.0,16.0,62.0,4.0,2.0,0.0,324.0,1900.0,76.0,14.0,15.0,2900.0,1542.0,12400.0,75.0,3.0,3.0,18000.0,10600.0,8.0,1759.0,6.0
159,4.0,0,5.0,0.0,0,0.01,0.99,7000.0,4.82,0.6,0.19699999999999998,14.0,27.0,27.0,6630.0,28.0,73420.0,104.0,0.45,8880.0,1310.0,0.65,1020.0,0.55,4.0,27.0,6.0,30.0,0.0,3.0,3.0,3.0,0.0,1590.0,2.0,0.0,0.0,2300.0,0.0,90.0,644.0,77.0,6.0,4.0,1.0,6.0,2.0,4.0,6.0,620.0,76.0,21.0,21.0,0.0,8.0,3.0,5.0,0.0,6.0,10.0,21.0,3.0,0.0,0.0,357.0,2200.0,73.0,5.0,5.0,3200.0,1560.0,76000.0,79.0,3.0,3.0,94800.0,40800.0,6.0,1468.0,6.0
160,2.0,0,7.0,0.0,1,0.03,0.97,0.0,3.57,0.9,0.505,18.0,19.0,15.0,6780.0,26.0,180110.0,253.0,0.45,30220.0,11410.0,0.15,970.0,0.55,13.0,19.0,13.0,19.0,0.0,3.0,4.0,5.0,241.0,1650.0,3.0,0.0,0.0,17790.0,0.0,85.0,554.0,80.0,16.0,6.0,4.0,25.0,5.0,8.0,13.0,493.0,75.0,52.0,34.0,7.0,21.0,10.0,11.0,0.0,2.0,21.0,53.0,45.0,1.0,0.0,355.0,1700.0,72.0,11.0,11.0,3100.0,1663.0,4500.0,78.0,10.0,12.0,8400.0,3740.0,20.0,940.0,20.0
